"collision_index","vehicle_reference","casualty_reference","casualty_class","casualty_severity","pedestrian_location","pedestrian_movement","car_passenger","casualty_type"
"19793379S0314",1,1,1,3,0,0,0,2
"1979927908282",1,1,1,3,0,0,0,109
"197905H100105",1,1,1,2,0,0,0,104
"1979620D00590",1,1,1,3,0,0,0,109
"1979440DW0024",1,1,1,3,0,0,0,109
"197920FFNK300",1,1,1,3,0,0,0,104
"1979220510052",1,1,1,3,0,0,0,104
"1979119DK0627",1,1,3,3,5,3,0,0
"197913Q057779",1,1,1,2,0,0,0,109
"197901D5MGU36",1,1,1,3,0,0,0,104
"1979219400031",1,1,1,3,0,0,0,109
"1979309D01196",2,1,1,2,0,0,0,104
"197901J7JIW20",1,1,1,3,0,0,0,1
"197920CCPD300",1,1,3,2,5,6,0,0
"197907FLIBQ60",1,1,1,3,0,0,0,1
"1979040FA0279",2,2,2,3,0,0,2,109
"197920LLRKO30",1,1,1,3,0,0,0,104
"197913P154279",2,2,2,3,0,0,1,109
"197901L7XLW59",1,1,2,3,0,0,1,109
"197901IGNGJ88",2,1,1,3,0,0,0,109
"197901I5IBU19",1,1,3,3,5,9,0,0
"197954DD04599",1,1,3,2,5,2,0,0
"19794141D1312",1,2,2,3,0,0,2,109
"197912A017379",2,1,1,2,0,0,0,1
"197932B050579",1,4,3,3,9,5,0,0
"197906F001518",2,1,1,3,0,0,0,109
"197952DSG0613",2,1,1,3,0,0,0,104
"1979463106709",2,2,1,3,0,0,0,109
"197906D000103",2,1,1,3,0,0,0,1
"1979219700523",1,1,1,3,0,0,0,104
"197901DQQGW93",1,1,2,3,0,0,0,11
"197901C3UKD92",1,1,3,3,5,6,0,0
"197901LUMDC35",2,4,2,3,0,0,1,109
"197901ARVAF20",1,1,2,3,0,0,1,109
"197920IDPFI00",2,1,1,3,0,0,0,1
"1979420060460",1,4,2,3,0,0,2,109
"197901E2SDX21",1,1,3,3,5,9,0,0
"1979530WI0108",2,1,1,2,0,0,0,1
"197905H100456",1,1,1,3,0,0,0,104
"197913Q065679",1,1,3,2,5,1,0,0
"197906F001830",2,1,1,3,0,0,0,1
